image,align_score,prompt,caption,quality_score,similarity_score,similarity_sentence,ImageReward_score,modifier,TOPIQ_score,Unnamed: 10,TOPIQ_score_bare
0.png,59.986,a corgi,a brown and white dog sitting on the floor,60.164,0.3262,a brown and white dog ,-0.04005982,0.19571999999999998,0.672361553,,0.7882470488548279
1.png,57.234,a corgi,a brown and white dog wearing a red bow tie,54.749,0.3728,a brown and white dog wearing a ,0.129201382,0.22368000000000002,0.660817504,,0.6504035592079163
2.png,53.542,a corgi,a brown and white dog sitting on a carpet,49.322,0.3262,a brown and white dog ,0.133874044,0.19571999999999998,0.580173731,,0.678637683391571
3.png,60.223,a corgi,a brown and white dog sitting on the ground,57.014,0.3262,a brown and white dog ,0.251223654,0.19571999999999998,0.65896529,,0.6879867911338806
4.png,59.94,a girl,a woman in a white dress with a flower in her hair,49.515,0.466,a woman ,1.818563342,0.2796,0.464626491,,0.7844598889350891
5.png,61.836,a girl,a young girl in a pink dress holding a pink flower,55.091,0.8261,a young girl ,1.78798604,0.66088,0.547473729,,0.4902262985706329
6.png,56.235,a girl,a woman in a black dress with a painting on her chest,46.306,0.466,a woman ,0.933973968,0.2796,0.453474849,,0.4960791170597076
7.png,52.391,a girl,a little girl in a dress standing in front of a painting,49.555,0.774,a little girl ,0.181315899,0.4644,0.467502594,,0.6336410641670227
8.png,61.889,a boat,a blue and white boat sitting on top of a body of water,62.755,0.7924,a blue and white boat ,0.603143096,0.47544,0.646330833,,0.7528380751609802
9.png,61.615,a boat,a blue and white boat in the water,56.853,0.816,a blue and white boat ,0.47573024,0.4895999999999999,0.575060308,,0.6460765600204468
10.png,55.066,a boat,a blue and white boat sitting on top of a rock,62.039,0.7924,a blue and white boat ,-0.100402825,0.47544,0.611292601,,0.7430693507194519
11.png,54.538,a boat,a small boat in the middle of a body of water,55.218,0.8585,a small boat ,0.626054347,0.5151,0.638815224,,0.7391624450683594
12.png,60.152,a bench,a wooden bench sitting on top of a lush green field,57.81,0.8308,a wooden bench ,0.287011862,0.49848,0.563060403,,0.6857842803001404
13.png,64.695,a bench,a wooden bench sitting on top of a sidewalk,63.513,0.8308,a wooden bench ,0.115556173,0.49848,0.662407041,,0.7375290393829346
14.png,56.763,a bench,a park bench sitting in the middle of a park,63.009,0.7346,a park bench ,0.19435291,0.44076,0.620088458,,0.675496518611908
15.png,65.175,a bench,a wooden bench sitting on top of a grass covered field,57.502,0.8308,a wooden bench ,0.344940752,0.49848,0.599484086,,0.7031206488609314
16.png,63.885,a flower,a vase filled with flowers on top of a table,50.819,0.6959,a vase filled with flowers ,0.919484138,0.41753999999999997,0.518936574,,0.5201166272163391
17.png,59.818,a flower,flowers in a vase on a sunny day,56.446,0.7881,flowers in a ,1.101838231,0.47286,0.640011907,,0.60625159740448
18.png,42.306,a flower,a painting of colorful flowers on a wall,42.498,0.6893,a painting of colorful flowers ,-2.232583761,0.41358,0.47873795,,0.567803144454956
19.png,65.821,a flower,a flower in a vase on a table,64.116,0.9552,a flower ,1.021411896,0.9552,0.60003221,,0.7174884676933289
20.png,60.412,a green pepper,a close up picture of a green plant,63.37,0.4275,a close up picture of a green ,1.048620462,0.2565,0.64734292,,0.6440646648406982
21.png,63.15,a green pepper,a green and white green and white green and white green and white green and,66.205,0.636,a green ,0.711732388,0.3816,0.652413726,,0.6491550803184509
22.png,49.547,a green pepper,a close up picture of a close up picture of a close up picture of,54.599,0.2729,a close up ,-0.441458523,0.16373999999999997,0.591356277,,0.712210476398468
23.png,60.732,a green pepper,a close up picture of a green and yellow plant,56.701,0.4827,a close up picture of a green and ,0.369512588,0.28962,0.597260296,,0.5521836280822754
24.png,57.866,a book cover,a clock with a cartoon character on it,60.102,0.271,a clock with ,-0.234940082,0.1626,0.570443869,,0.7095012068748474
25.png,51.455,a book cover,a book that is sitting on top of a table,54.159,0.6975,a book ,0.415078014,0.6975,0.609211206,,0.7223513722419739
26.png,51.543,a book cover,a painting of a man sitting on a bench,48.756,0.3208,a painting of a ,0.14706403,0.19247999999999998,0.496464401,,0.5268122553825378
27.png,62.794,a book cover,"an advertisement for a book titled, ""why do you hate me?""",64.08,0.6173,"an advertisement for a book titled, ",-0.045075759,0.49384,0.507314324,,0.7144190669059753
28.png,59.341,a kitchen,a kitchen with a stove top oven and a sink,58.008,0.9742,a kitchen ,0.181611091,0.9742,0.663021564,,0.8089219927787781
29.png,69.794,a kitchen,"a kitchen with a stove, refrigerator, sink and microwave",69.131,0.9742,a kitchen ,0.046741627,0.77936,0.708507299,,0.797498881816864
30.png,52.717,a kitchen,a kitchen with stainless steel appliances and wood cabinets,54.711,0.9323,a kitchen ,0.246864021,0.55938,0.659819007,,0.8137090802192688
31.png,63.681,a kitchen,a kitchen with wooden cabinets and wooden floors,62.772,0.9365,a kitchen ,0.008631787,0.5619,0.692529798,,0.7879448533058167
32.png,53.68,a fall landscape,a painting of a forest filled with trees,55.278,0.2638,a painting of a forest ,0.327442527,0.15827999999999998,0.612788558,,0.5640227198600769
33.png,54.117,a fall landscape,a river filled with lots of water and trees,44.381,0.2727,a river ,0.180522785,0.16362,0.54343152,,0.5611078143119812
34.png,54.498,a fall landscape,a forest filled with lots of trees with a sky background,56.518,0.3647,a forest ,0.845741272,0.21882000000000001,0.651313245,,0.6513474583625793
35.png,62.283,a fall landscape,a painting of a painting of a forest with trees,53.344,0.2371,a painting of a painting of a forest with trees ,0.08770898,0.14226,0.588702023,,0.5263370871543884
36.png,59.841,a photo of san francisco's golden gate bridge,a red and white clock tower in the middle of a foggy day,59.946,0.3144,a red and white clock tower in the middle of ,0.282346249,0.18864,0.599138021,,0.6081018447875977
37.png,60.361,a photo of san francisco's golden gate bridge,a bridge over a body of water with a blue sky,57.732,0.4661,a bridge ,0.673623919,0.37288000000000004,0.605144739,,0.6223058104515076
38.png,48.706,a photo of san francisco's golden gate bridge,a red and white fire hydrant in front of a fence,50.101,0.2259,a red and white fire hydrant in front of a fence ,0.307929158,0.13554,0.538797021,,0.59561687707901
39.png,60.426,a photo of san francisco's golden gate bridge,a bridge over a river with a clock on it,58.132,0.4661,a bridge ,0.664587975,0.32627,0.615163803,,0.6483707427978516
40.png,53.978,A giraffe walking through a green grass covered field,a giraffe standing on top of a lush green field,56.618,0.7012,a giraffe standing on top of a lush green field ,-0.999356508,0.42072000000000004,0.591053367,,0.6777660250663757
41.png,57.178,A giraffe walking through a green grass covered field,a giraffe standing in the middle of a field,60.822,0.6736,a giraffe standing in the middle of a field ,0.025181495,0.40415999999999996,0.562079489,,0.6324587464332581
42.png,50.332,A giraffe walking through a green grass covered field,a giraffe standing in the middle of a grassy field,46.5,0.7148,a giraffe standing in the middle of a grassy field ,0.58210218,0.42888,0.520889938,,0.6064289808273315
43.png,39.263,A giraffe walking through a green grass covered field,a giraffe's head with a green background,46.354,0.6492,a giraffe's head with a green ,-1.788956642,0.38952,0.514825463,,0.5348482131958008
44.png,54.837,a woman with long hair,a woman in a red dress is looking at her cell phone,51.065,0.5231,a woman ,-0.400473148,0.31386,0.543116868,,0.6921192407608032
45.png,65.63,a woman with long hair,a woman in a black dress is looking at the camera,62.68,0.5231,a woman ,-0.623134553,0.31386,0.574672461,,0.7453723549842834
46.png,56.482,a woman with long hair,a woman with long hair wearing a blue dress,54.274,0.9837,a woman with long hair ,0.861632049,0.9837,0.596973538,,0.7412753105163574
47.png,62.217,a woman with long hair,a woman with long hair standing in front of a wall,60.563,0.9169,a woman with long hair ,-0.499429286,0.64183,0.562642932,,0.5849180817604065
48.png,59.057,A red bus is driving on the road,a red double decker bus driving down a road,56.679,0.774,a red double decker bus driving down a road ,0.829417109,0.4644,0.626294613,,0.713735044002533
49.png,62.559,A red bus is driving on the road,a red double decker bus driving down a street,61.018,0.7639,a red double decker bus driving down a street ,-0.069178157,0.45833999999999997,0.666035652,,0.7514380812644958
50.png,44.121,A red bus is driving on the road,a double decker bus driving down a street,52.465,0.6069,a double decker bus driving down a street ,-1.80975318,0.36413999999999996,0.57973361,,0.5676535367965698
51.png,62.603,A red bus is driving on the road,a red double decker bus driving down a road,59.828,0.774,a red double decker bus driving down a road ,0.867595673,0.4644,0.662782431,,0.7156808972358704
52.png,62.986,a teddy bear on a skateboard,a teddy bear sitting on top of a skateboard,68.13,0.7513,a teddy bear sitting on top of a skateboard ,1.940660834,0.52591,0.581918597,,0.6738435626029968
53.png,55.297,a teddy bear on a skateboard,a teddy bear is sitting on a skateboard,57.345,0.7678,a teddy bear is sitting on a skateboard ,1.83532095,0.6142400000000001,0.591424227,,0.6404730081558228
54.png,48.415,a teddy bear on a skateboard,a teddy bear sitting on the floor next to a skateboard,47.2,0.7392,a teddy bear sitting on the floor next to a skateboard ,1.709515333,0.44351999999999997,0.567380309,,0.6247664093971252
55.png,55.395,a teddy bear on a skateboard,a teddy bear sitting on top of a skateboard,63.613,0.7513,a teddy bear sitting on top of a skateboard ,1.793915272,0.45077999999999996,0.63040626,,0.7563039660453796
56.png,45.194,a pumpkin with a candle in it,a green and white bird sitting on top of a wooden table,60.192,0.3022,a green ,-1.877843022,0.18132,0.681624293,,0.676921546459198
