name,mos_align,std_align,prompt,caption,similarity_score,similarity_sentence,TOPIQ_score,modifier,reward,mos_quality,std_quality,TOPIQ_score_bare
AttnGAN_normal_000.jpg,0.40889324,0.615607722,statue of a man,a statue of an elephant with a bucket of water in it's mouth,0.8541,a statue ,0.175684661,0.5124599999999999,-1.906640291,0.965602553,0.223270101,0.2844259440898895
AttnGAN_normal_001.jpg,0.428796637,0.667071153,a tray of sushi,a collage of photos of a woman in a bikini,0.1932,a collage of ,0.260858715,0.11592,-2.281682968,1.361853219,0.645422466,0.2224797308444976
AttnGAN_normal_002.jpg,0.506802093,0.723514494,man lost in space,a black and white photo of a dark room,0.1308,a black ,0.062537462,0.07848,-2.280395985,0.195283431,0.949402643,0.1923983693122863
AttnGAN_normal_003.jpg,0.207691414,0.461925764,a cosmic universe,a pair of scissors sitting on top of a counter,0.1645,a pair of ,0.237842381,0.0987,-2.206233501,1.075006252,0.256997016,0.1682850122451782
AttnGAN_normal_004.jpg,0.564244714,0.719811275,red and blue armor,a pair of shoes sitting on the floor next to a toilet,0.3223,a pair of ,0.240977675,0.19337999999999997,-2.253907204,1.391763291,1.019677291,0.2448913753032684
AttnGAN_normal_005.jpg,0.70896187,0.593561806,house of the dragon,a fire hydrant in the middle of a forest,0.1755,a fire ,0.226470873,0.10529999999999999,-2.277546883,1.106599613,0.448890123,0.3556847274303436
AttnGAN_normal_006.jpg,0.626274844,0.998303735,a river in a forest,a cake shaped like a train on top of a table,0.1569,a cake shaped like a train on top of a ,0.179804161,0.09414,-2.276595116,1.062470367,0.665815742,0.2586285173892975
AttnGAN_normal_007.jpg,0.397771485,0.412883462,a cat doing karaoke,a statue of a cow sitting on top of a concrete floor,0.0735,a statue of a cow ,0.130513042,0.04409999999999999,-2.279331446,0.80654015,0.393910643,0.340039998292923
AttnGAN_normal_008.jpg,0.577911226,0.711439334,joe biden very happy,a bathroom with a bunch of teddy bears in it,0.1646,a bathroom with a bunch of teddy ,0.219562918,0.09876,-2.26408267,1.230273953,0.574807841,0.2474176585674286
AttnGAN_normal_009.jpg,0.420831212,0.549756696,girl from fight club,a man wearing a suit and tie sitting in a room,0.0097,a man wearing ,0.197530314,0.00582,-2.243250132,1.222173929,0.637559058,0.3191262185573578
AttnGAN_normal_010.jpg,0.178657573,0.569770583,face shot of a woman,a painting of a train with graffiti on it,0.198,a painting of ,0.28127256,0.1188,-2.27240777,1.311956077,0.754244761,0.285275936126709
AttnGAN_normal_011.jpg,0.647652682,0.72337619,the prince of the sun,a table topped with a plate of food,0.1671,a table ,0.26521492,0.10026,-2.22373271,1.373098268,0.432051187,0.323796659708023
AttnGAN_normal_012.jpg,0.936285696,0.523195868,life bar and mana bar,a wooden bench sitting in the middle of a forest,0.1534,a wooden ,0.259545296,0.09204,-2.148357391,1.337589887,0.548578888,0.3575519621372223
AttnGAN_normal_013.jpg,1.146784292,1.117565554,everything is a dream,a black and white photo of a clock on a wall,0.1738,a black and ,0.231344014,0.12166,-2.055096626,1.230273953,0.54561589,0.3394487202167511
AttnGAN_normal_014.jpg,0.613465793,0.713436676,a small leopard gecko,a woman sitting on top of a white toilet,0.0869,a woman ,0.188745633,0.05214,-2.277972698,0.919776796,0.669515599,0.2701694965362549
AttnGAN_normal_015.jpg,0.571482359,0.516367865,santa claus on drugs,a row of urinals in a bathroom with graffiti on them,0.241,a row of urinals ,0.171800137,0.14459999999999998,-2.283925533,0.91586726,0.403143871,0.1312898099422454
AttnGAN_normal_016.jpg,0.541980536,0.483986297,very sad rabbit crying,a sign that is on top of a boat,0.1643,a sign ,0.22737512,0.09858,-2.279803276,1.174495727,0.516055647,0.2906495630741119
AttnGAN_normal_017.jpg,0.751353207,0.657638334,tragedy of the commons,a clock that is on the floor of a room,0.0944,a clock that ,0.186451077,0.056639999999999996,-2.282994032,1.006207915,0.554580887,0.3261723220348358
AttnGAN_normal_018.jpg,0.373079324,0.578466453,man hating his printer,a wall with graffiti on it with a skateboard in front of it,0.1806,a wall with graffiti on it ,0.209005684,0.10836,-2.278765202,1.101434458,0.368267338,0.288546621799469
AttnGAN_normal_019.jpg,1.02066036,1.93353151,big boss eating dinner,a man riding a wave on top of a surfboard,0.0821,a man ,0.357337117,0.049260000000000005,-2.282478333,0.821435934,0.777334433,0.3354994058609009
AttnGAN_normal_020.jpg,0.277575547,0.476192805,a overgrown old house,a dog laying on the ground next to a red object,0.121,a dog ,0.176851377,0.0726,-2.278068781,0.965602553,0.353628309,0.2686953842639923
AttnGAN_normal_021.jpg,0.444707156,0.584535149,portrait of mecha robot,a picture taken from a distance of a body of water,0.3267,a picture taken ,0.264438808,0.26136,-2.280471087,1.448560438,0.717877486,0.2305518090724945
AttnGAN_normal_022.jpg,0.784257411,0.776146893,panda chef in a kitchen,a man is standing in a room with a wall,0.1131,a man ,0.178468809,0.06786,-2.267148018,1.428382741,0.692444828,0.2296345829963684
AttnGAN_normal_023.jpg,0.422156431,0.363652825,king kong on fighting,a painting of a person's face with candles,0.1405,a painting of ,0.218620375,0.0843,-2.276282072,0.949159982,0.506836937,0.3741288185119629
AttnGAN_normal_024.jpg,0.310309712,0.508539438,goddess of mystic unity,a collage of photos of a person holding a pair of scissors,0.1438,a collage of photos of a person holding a pair of ,0.164666757,0.08628000000000001,-2.261306524,0.979308463,0.692335046,0.304017424583435
AttnGAN_normal_025.jpg,0.456645128,0.664614654,a still of breaking bad,a man and woman standing next to each other,0.0937,a man and ,0.217080697,0.05622,-2.244912386,1.086342024,0.384291365,0.3402739465236664
AttnGAN_normal_026.jpg,0.613465793,0.628982857,a painting of a eclipse,a large group of sculptures of animals on a wall,0.3183,a large group of sculptures of animals on a ,0.235717133,0.19098,-2.237540245,1.023275848,0.729412624,0.3074238002300262
AttnGAN_normal_027.jpg,0.726968261,0.798565759,the large cresting waves,a stuffed animal in a cage,0.0273,a stuffed ,0.187733203,0.01638,-2.278817177,0.934897999,0.496275127,0.2223885655403137
AttnGAN_normal_028.jpg,0.686697692,0.609546191,maroon to black gradient,a small boat floating on top of a body of water,0.1038,a small boat floating on top of a ,0.298090219,0.06228,-2.220468044,1.527555519,0.734475663,0.3209454715251922
AttnGAN_normal_029.jpg,0.530505137,0.639145334,legendary river of slugs,a statue of a girl in a costume with a fire hydrant,0.2369,a statue of ,0.151946753,0.14214,-2.095641613,0.747278376,0.747544955,0.3365802466869354
