image,quality_score,quality_score,caption,modifier,similarity_score,similarity_sentence,ImageReward_score,,align_score,prompt
0.png,60.164,60.164,a brown and white dog sitting on the floor,0.123024,0.3262,a brown and white dog ,-0.04005982,,59.986,a corgi
1.png,54.749,54.749,a brown and white dog wearing a red bow tie,0.238592,0.3728,a brown and white dog wearing a ,0.129201382,,57.234,a corgi
2.png,49.322,49.322,a brown and white dog sitting on a carpet,0.123024,0.3262,a brown and white dog ,0.133874044,,53.542,a corgi
3.png,57.014,57.014,a brown and white dog sitting on the ground,0.123024,0.3262,a brown and white dog ,0.251223654,,60.223,a corgi
4.png,49.515,49.515,a woman in a white dress with a flower in her hair,0.05592,0.466,a woman ,1.818563342,,59.94,a girl
5.png,55.091,55.091,a young girl in a pink dress holding a pink flower,0.1610895,0.8261,a young girl ,1.78798604,,61.836,a girl
6.png,46.306,46.306,a woman in a black dress with a painting on her chest,0.05592,0.466,a woman ,0.933973968,,56.235,a girl
7.png,49.555,49.555,a little girl in a dress standing in front of a painting,0.16254,0.774,a little girl ,0.181315899,,52.391,a girl
8.png,62.755,62.755,a blue and white boat sitting on top of a body of water,0.31696,0.7924,a blue and white boat ,0.603143096,,61.889,a boat
9.png,56.853,56.853,a blue and white boat in the water,0.3808,0.816,a blue and white boat ,0.47573024,,61.615,a boat
10.png,62.039,62.039,a blue and white boat sitting on top of a rock,0.31696,0.7924,a blue and white boat ,-0.100402825,,55.066,a boat
11.png,55.218,55.218,a small boat in the middle of a body of water,0.202918182,0.8585,a small boat ,0.626054347,,54.538,a boat
12.png,57.81,57.81,a wooden bench sitting on top of a lush green field,0.173888372,0.8308,a wooden bench ,0.287011862,,60.152,a bench
13.png,63.513,63.513,a wooden bench sitting on top of a sidewalk,0.289813953,0.8308,a wooden bench ,0.115556173,,64.695,a bench
14.png,63.009,63.009,a park bench sitting in the middle of a park,0.133253023,0.7346,a park bench ,0.19435291,,56.763,a bench
15.png,57.502,57.502,a wooden bench sitting on top of a grass covered field,0.173888372,0.8308,a wooden bench ,0.344940752,,65.175,a bench
